section,tier,n_pairs,col_a_time,col_a_ops_or_na,col_b_time,col_b_ops_or_na,ratio,extra
native,8-bit,10000000,0.164443,4.9290,0.176869,5.7224,0.9297,0.8613
native,16-bit,10000000,0.307459,9.6060,0.358408,11.3613,0.8578,0.8455
native,24-bit,10000000,0.449414,14.2801,0.531089,17.0172,0.8462,0.8392
native,32-bit,10000000,0.582423,18.9543,0.687918,22.6635,0.8466,0.8363
native,40-bit,10000000,0.681794,23.6279,0.841957,28.3119,0.8098,0.8346
native,48-bit,10000000,0.744147,28.3008,0.996807,33.9593,0.7465,0.8334
native,56-bit,10000000,0.847393,32.9730,1.156699,39.6078,0.7326,0.8325
native,64-bit,10000000,0.966141,37.6465,1.318611,45.2549,0.7327,0.8319
native,128-bit,10000000,3.505771,75.0325,3.450344,90.4377,1.0161,0.8297
gmp,gmp-64,500000,0.044154,0.049884,0.8851,euc64
gmp,gmp-128,500000,0.103444,0.175354,0.5899,bin128
gmp,gmp-256,500000,0.485797,0.487917,0.9957,mpz_gcd
gmp,gmp-512,200000,0.432280,0.435372,0.9929,mpz_gcd
gmp,gmp-1024,100000,0.463978,0.462841,1.0025,mpz_gcd
gmp,gmp-2048,50000,0.511671,0.513970,0.9955,mpz_gcd
